"filename", "language", "JSON", "Markdown", "TypeScript", "JSON with Comments", "HTML", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"/home/adam/Documents/second-brain/client/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 4, 58
"/home/adam/Documents/second-brain/client/src/pages/AuthPages.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 30, 305
"/home/adam/Documents/second-brain/client/src/pages/Cards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 12, 217
"/home/adam/Documents/second-brain/client/src/pages/Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 221, 0, 0, 0, 0, 20, 241
"/home/adam/Documents/second-brain/client/src/pages/LandingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 503, 0, 0, 0, 0, 31, 534
"/home/adam/Documents/second-brain/client/src/pages/MoveCards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 29, 199
"/home/adam/Documents/second-brain/client/src/pages/Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 225, 0, 0, 0, 0, 26, 251
"/home/adam/Documents/second-brain/client/src/pages/ResetPassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 18, 164
"/home/adam/Documents/second-brain/client/src/pages/Search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 339, 0, 0, 0, 1, 28, 368
"/home/adam/Documents/second-brain/client/src/pages/Share.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 3, 21, 224
"/home/adam/Documents/second-brain/client/src/pages/Tags.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 15, 206
"/home/adam/Documents/second-brain/client/src/store/atoms/allcards.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/adam/Documents/second-brain/client/src/store/atoms/counter.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/adam/Documents/second-brain/client/src/store/atoms/editcard.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/adam/Documents/second-brain/client/src/store/atoms/formData.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/home/adam/Documents/second-brain/client/src/store/atoms/hideIcons.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/adam/Documents/second-brain/client/src/store/atoms/loading.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/adam/Documents/second-brain/client/src/store/atoms/modal.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/adam/Documents/second-brain/client/src/store/atoms/resetpassword.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/adam/Documents/second-brain/client/src/store/atoms/search.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
